,S,I,R
2020-01-27,5800000.0,0.0,0.0
2020-01-28,5800000.0,0.0,0.0
2020-01-29,5800000.0,0.0,0.0
2020-01-30,5800000.0,0.0,0.0
2020-01-31,5800000.0,0.0,0.0
2020-02-01,5800000.0,0.0,0.0
2020-02-02,5800000.0,0.0,0.0
2020-02-03,5800000.0,0.0,0.0
2020-02-04,5800000.0,0.0,0.0
2020-02-05,5800000.0,0.0,0.0
2020-02-06,5800000.0,0.0,0.0
2020-02-07,5800000.0,0.0,0.0
2020-02-08,5800000.0,0.0,0.0
2020-02-09,5800000.0,0.0,0.0
2020-02-10,5800000.0,0.0,0.0
2020-02-11,5800000.0,0.0,0.0
2020-02-12,5800000.0,0.0,0.0
2020-02-13,5800000.0,0.0,0.0
2020-02-14,5800000.0,0.0,0.0
2020-02-15,5800000.0,0.0,0.0
2020-02-16,5800000.0,0.0,0.0
2020-02-17,5800000.0,0.0,0.0
2020-02-18,5800000.0,0.0,0.0
2020-02-19,5800000.0,0.0,0.0
2020-02-20,5800000.0,0.0,0.0
2020-02-21,5800000.0,0.0,0.0
2020-02-22,5800000.0,0.0,0.0
2020-02-23,5800000.0,0.0,0.0
2020-02-24,5800000.0,0.0,0.0
2020-02-25,5800000.0,0.0,0.0
2020-02-26,5799999.0,0.0,1.0
2020-02-27,5799998.0,1.0,1.0
2020-02-28,5799997.0,2.0,1.0
2020-02-29,5799997.0,3.0,0.0
2020-03-01,5799996.0,3.0,1.0
2020-03-02,5799992.0,4.0,4.0
2020-03-03,5799987.0,8.0,5.0
2020-03-04,5799984.0,13.0,3.0
2020-03-05,5799974.0,16.0,10.0
2020-03-06,5799972.0,26.0,2.0
2020-03-07,5799963.0,27.0,10.0
2020-03-08,5799915.0,35.0,50.0
2020-03-09,5799705.0,82.0,213.0
2020-03-10,5799449.0,292.0,259.0
2020-03-11,5799242.0,547.0,211.0
2020-03-12,5799198.0,750.0,52.0
2020-03-13,5799165.0,789.0,46.0
2020-03-14,5799128.0,819.0,53.0
2020-03-15,5799083.0,846.0,71.0
2020-03-16,5799009.0,889.0,102.0
2020-03-17,5798933.0,954.0,113.0
2020-03-18,5798850.0,982.0,168.0
2020-03-19,5798743.0,855.0,402.0
2020-03-20,5798640.0,706.0,654.0
2020-03-21,5798592.0,602.0,806.0
2020-03-22,5798530.0,606.0,864.0
2020-03-23,5798398.0,635.0,967.0
2020-03-24,5798259.0,730.0,1011.0
2020-03-25,5798108.0,824.0,1068.0
2020-03-26,5797937.0,901.0,1162.0
2020-03-27,5797720.0,996.0,1284.0
2020-03-28,5797520.0,1130.0,1350.0
2020-03-29,5797392.0,1223.0,1385.0
2020-03-30,5797079.0,1248.0,1673.0
2020-03-31,5796824.0,1513.0,1663.0
2020-04-01,5796542.0,1706.0,1752.0
2020-04-02,5796160.0,1856.0,1984.0
2020-04-03,5795687.0,2099.0,2214.0
2020-04-04,5795375.0,2421.0,2204.0
2020-04-05,5795217.0,2562.0,2221.0
2020-04-06,5794793.0,2503.0,2704.0
2020-04-07,5794446.0,2727.0,2827.0
2020-04-08,5794145.0,2946.0,2909.0
2020-04-09,5794005.0,2934.0,3061.0
2020-04-10,5793863.0,2819.0,3318.0
2020-04-11,5793723.0,2679.0,3598.0
2020-04-12,5793566.0,2437.0,3997.0
2020-04-13,5793410.0,2121.0,4469.0
2020-04-14,5793152.0,1965.0,4883.0
2020-04-15,5792953.0,2065.0,4982.0
2020-04-16,5792775.0,1840.0,5385.0
2020-04-17,5792607.0,1671.0,5722.0
2020-04-18,5792501.0,1538.0,5961.0
2020-04-19,5792387.0,1504.0,6109.0
2020-04-20,5792172.0,1476.0,6352.0
2020-04-21,5791970.0,1551.0,6479.0
2020-04-22,5791741.0,1596.0,6663.0
2020-04-23,5791509.0,1669.0,6822.0
2020-04-24,5791344.0,1643.0,7013.0
2020-04-25,5791208.0,1609.0,7183.0
2020-04-26,5791087.0,1567.0,7346.0
2020-04-27,5790868.0,1520.0,7612.0
2020-04-28,5790732.0,1633.0,7635.0
2020-04-29,5790592.0,1655.0,7753.0
2020-04-30,5790443.0,1580.0,7977.0
2020-05-01,5790291.0,1527.0,8182.0
2020-05-02,5790174.0,1450.0,8376.0
2020-05-03,5790096.0,1335.0,8569.0
2020-05-04,5789972.0,1248.0,8780.0
2020-05-05,5789849.0,1236.0,8915.0
2020-05-06,5789742.0,1238.0,9020.0
2020-05-07,5789619.0,1126.0,9255.0
2020-05-08,5789550.0,1113.0,9337.0
2020-05-09,5789483.0,1042.0,9475.0
2020-05-10,5789423.0,960.0,9617.0
2020-05-11,5789344.0,868.0,9788.0
2020-05-12,5789286.0,830.0,9884.0
2020-05-13,5789215.0,810.0,9975.0
2020-05-14,5789151.0,757.0,10092.0
2020-05-15,5789060.0,698.0,10242.0
2020-05-16,5789025.0,682.0,10293.0
2020-05-17,5788975.0,594.0,10431.0
2020-05-18,5788893.0,575.0,10532.0
2020-05-19,5788830.0,590.0,10580.0
2020-05-20,5788758.0,593.0,10649.0
2020-05-21,5788727.0,586.0,10687.0
2020-05-22,5788654.0,559.0,10787.0
2020-05-23,5788618.0,561.0,10821.0
2020-05-24,5788582.0,533.0,10885.0
2020-05-25,5788530.0,478.0,10992.0
2020-05-26,5788467.0,495.0,11038.0
2020-05-27,5788415.0,508.0,11077.0
2020-05-28,5788376.0,478.0,11146.0
2020-05-29,5788330.0,454.0,11216.0
2020-05-30,5788297.0,428.0,11275.0
2020-05-31,5788275.0,430.0,11295.0
2020-06-01,5788239.0,379.0,11382.0
2020-06-02,5788183.0,379.0,11438.0
2020-06-03,5788130.0,399.0,11471.0
2020-06-04,5788088.0,400.0,11512.0
2020-06-05,5788053.0,379.0,11568.0
2020-06-06,5788038.0,362.0,11600.0
2020-06-07,5788024.0,338.0,11638.0
2020-06-08,5787978.0,306.0,11716.0
2020-06-09,5787950.0,319.0,11731.0
2020-06-10,5787910.0,325.0,11765.0
2020-06-11,5787861.0,329.0,11810.0
2020-06-12,5787801.0,322.0,11877.0
2020-06-13,5787774.0,329.0,11897.0
2020-06-14,5787752.0,314.0,11934.0
2020-06-15,5787712.0,301.0,11987.0
2020-06-16,5787666.0,326.0,12008.0
2020-06-17,5787590.0,358.0,12052.0
2020-06-18,5787544.0,388.0,12068.0
2020-06-19,5787500.0,406.0,12094.0
2020-06-20,5787462.0,410.0,12128.0
2020-06-21,5787429.0,399.0,12172.0
2020-06-22,5787383.0,372.0,12245.0
2020-06-23,5787364.0,391.0,12245.0
2020-06-24,5787319.0,388.0,12293.0
2020-06-25,5787287.0,393.0,12320.0
2020-06-26,5787264.0,379.0,12357.0
2020-06-27,5787245.0,326.0,12429.0
2020-06-28,5787234.0,299.0,12467.0
2020-06-29,5787204.0,266.0,12530.0
2020-06-30,5787180.0,258.0,12562.0
2020-07-01,5787168.0,249.0,12583.0
2020-07-02,5787153.0,215.0,12632.0
2020-07-03,5787135.0,211.0,12654.0
2020-07-04,5787122.0,184.0,12694.0
2020-07-05,5787111.0,165.0,12724.0
2020-07-06,5787102.0,153.0,12745.0
2020-07-07,5787089.0,143.0,12768.0
2020-07-08,5787063.0,145.0,12792.0
2020-07-09,5787022.0,141.0,12837.0
2020-07-10,5786988.0,158.0,12854.0
2020-07-11,5786964.0,180.0,12856.0
2020-07-12,5786942.0,189.0,12869.0
2020-07-13,5786909.0,193.0,12898.0
2020-07-14,5786875.0,213.0,12912.0
2020-07-15,5786833.0,236.0,12931.0
2020-07-16,5786781.0,269.0,12950.0
2020-07-17,5786749.0,308.0,12943.0
2020-07-18,5786706.0,314.0,12980.0
2020-07-19,5786678.0,316.0,13006.0
2020-07-20,5786646.0,310.0,13044.0
2020-07-21,5786609.0,318.0,13073.0
2020-07-22,5786574.0,333.0,13093.0
