"dato","kommunenavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-06-16,København,K,128911,65828,124927,65541,3984,287
2021-06-16,København,M,120805,54845,116542,54274,4263,571
2021-06-16,Frederiksberg,K,27131,15230,26520,15202,611,28
2021-06-16,Frederiksberg,M,22865,11250,22193,11166,672,84
2021-06-16,Ballerup,K,13742,7888,13527,7888,215,0
2021-06-16,Ballerup,M,11920,5480,11626,5475,294,5
2021-06-16,Brøndby,K,9194,5408,9094,5403,100,5
2021-06-16,Brøndby,M,7995,3946,7846,3943,149,3
2021-06-16,Dragør,K,4570,2545,4509,2543,61,2
2021-06-16,Dragør,M,4143,2035,4081,2033,62,2
2021-06-16,Gentofte,K,22493,12151,22155,12140,338,11
2021-06-16,Gentofte,M,19433,9020,19040,9001,393,19
2021-06-16,Gladsaxe,K,18018,10106,17710,10090,308,16
2021-06-16,Gladsaxe,M,15900,7202,15473,7187,427,15
2021-06-16,Glostrup,K,6280,3728,6198,3724,82,4
2021-06-16,Glostrup,M,5451,2504,5332,2492,119,12
2021-06-16,Herlev,K,7918,4733,7791,4725,127,8
2021-06-16,Herlev,M,6646,3169,6482,3160,164,9
2021-06-16,Albertslund,K,6906,3986,6802,3987,104,-1
2021-06-16,Albertslund,M,6077,2903,5941,2899,136,4
2021-06-16,Hvidovre,K,14027,8027,13788,8015,239,12
2021-06-16,Hvidovre,M,12311,5747,12024,5726,287,21
2021-06-16,Høje Tåstrup,K,12895,7416,12694,7378,201,38
2021-06-16,Høje Tåstrup,M,11799,5566,11552,5527,247,39
2021-06-16,Lyngby-Taarbæk,K,16305,9049,15944,9040,361,9
2021-06-16,Lyngby-Taarbæk,M,14178,6493,13729,6476,449,17
2021-06-16,Rødovre,K,10847,6305,10664,6298,183,7
2021-06-16,Rødovre,M,9221,4261,9008,4242,213,19
2021-06-16,Ishøj,K,5307,3106,5236,3106,71,0
2021-06-16,Ishøj,M,4821,2275,4722,2274,99,1
2021-06-16,Tårnby,K,11933,6527,11739,6523,194,4
2021-06-16,Tårnby,M,10666,4877,10453,4872,213,5
2021-06-16,Vallensbæk,K,4242,2433,4185,2432,57,1
2021-06-16,Vallensbæk,M,3925,1920,3852,1918,73,2
2021-06-16,Furesø,K,12072,6920,11858,6917,214,3
2021-06-16,Furesø,M,10702,5044,10434,5026,268,18
2021-06-16,Allerød,K,7781,4225,7628,4217,153,8
2021-06-16,Allerød,M,7031,3219,6855,3207,176,12
2021-06-16,Fredensborg,K,12202,7188,11897,7183,305,5
2021-06-16,Fredensborg,M,10697,5477,10323,5467,374,10
2021-06-16,Helsingør,K,19389,11763,18777,11738,612,25
2021-06-16,Helsingør,M,16760,8719,16077,8696,683,23
2021-06-16,Hillerød,K,15036,8681,14753,8672,283,9
2021-06-16,Hillerød,M,13248,6248,12881,6232,367,16
2021-06-16,Hørsholm,K,8304,5033,8141,5012,163,21
2021-06-16,Hørsholm,M,6882,3608,6720,3602,162,6
2021-06-16,Rudersdal,K,17139,9642,16694,9625,445,17
2021-06-16,Rudersdal,M,15370,7345,14882,7330,488,15
2021-06-16,Egedal,K,12656,6698,12492,6693,164,5
2021-06-16,Egedal,M,11659,4971,11419,4959,240,12
