"Vaccinedato","geo","Antal påbegyndt vacc. personer","Antal borgere","Påbegyndtvacc. (%)","Kumuleret antal påbegyndt vacc."
2020-12-17,Nationalt,1,5848238,0.00,1
2020-12-19,Nationalt,1,5848238,0.00,2
2020-12-21,Nationalt,1,5848238,0.00,3
2020-12-22,Nationalt,1,5848238,0.00,4
2020-12-23,Nationalt,3,5848238,0.00,7
2020-12-24,Nationalt,1,5848238,0.00,8
2020-12-26,Nationalt,1,5848238,0.00,9
2020-12-27,Nationalt,6280,5848238,0.11,6289
2020-12-28,Nationalt,2001,5848238,0.14,8290
2020-12-29,Nationalt,8715,5848238,0.29,17005
2020-12-30,Nationalt,11145,5848238,0.48,28150
2020-12-31,Nationalt,5966,5848238,0.58,34116
2021-01-01,Nationalt,2273,5848238,0.62,36389
2021-01-02,Nationalt,8564,5848238,0.77,44953
2021-01-03,Nationalt,5769,5848238,0.87,50722
2021-01-04,Nationalt,2399,5848238,0.91,53121
2021-01-05,Nationalt,13123,5848238,1.13,66244
2021-01-06,Nationalt,19136,5848238,1.46,85380
2021-01-07,Nationalt,16970,5848238,1.75,102350
2021-01-08,Nationalt,8212,5848238,1.89,110562
2021-01-09,Nationalt,1876,5848238,1.92,112438
2021-01-10,Nationalt,817,5848238,1.94,113255
2021-01-11,Nationalt,659,5848238,1.95,113914
2021-01-12,Nationalt,459,5848238,1.96,114373
2021-01-13,Nationalt,12554,5848238,2.17,126927
2021-01-14,Nationalt,17612,5848238,2.47,144539
2021-01-15,Nationalt,14929,5848238,2.73,159468
2021-01-16,Nationalt,4518,5848238,2.80,163986
2021-01-17,Nationalt,2445,5848238,2.85,166431
2021-01-18,Nationalt,3779,5848238,2.91,170210
2021-01-19,Nationalt,2430,5848238,2.95,172640
2021-01-20,Nationalt,1480,5848238,2.98,174120
2021-01-21,Nationalt,1492,5848238,3.00,175612
2021-01-22,Nationalt,654,5848238,3.01,176266
2021-01-23,Nationalt,725,5848238,3.03,176991
2021-01-24,Nationalt,592,5848238,3.04,177583
2021-01-25,Nationalt,274,5848238,3.04,177857
2021-01-26,Nationalt,209,5848238,3.04,178066
2021-01-27,Nationalt,200,5848238,3.05,178266
2021-01-28,Nationalt,216,5848238,3.05,178482
2021-01-29,Nationalt,1086,5848238,3.07,179568
2021-01-30,Nationalt,1181,5848238,3.09,180749
2021-01-31,Nationalt,1187,5848238,3.11,181936
2021-02-01,Nationalt,746,5848238,3.12,182682
2021-02-02,Nationalt,1987,5848238,3.16,184669
2021-02-03,Nationalt,1506,5848238,3.18,186175
2021-02-04,Nationalt,1401,5848238,3.21,187576
2021-02-05,Nationalt,1559,5848238,3.23,189135
2021-02-06,Nationalt,1001,5848238,3.25,190136
