bo_kom_today,sognekode,sogn,Inviterede_i_sognet,Antal_inviteret_ikke_booket,Andel_inviteret_ikke_booket,Andel_booket,Andel_påbegyndt,Andel_færdigvaccineret
Aabenraa,,,33,17,52%,6%,21%,21%
Aabenraa,9010,"Aabenraa,Aabenraa",10339,1231,12%,9%,37%,42%
Aabenraa,9011,"Hjordkær,Aabenraa",1107,118,11%,12%,44%,33%
Aabenraa,9012,"Løjt,Aabenraa",2110,186,9%,10%,40%,41%
Aabenraa,9013,"Bjolderup,Aabenraa",985,116,12%,10%,45%,33%
Aabenraa,9014,"Rise,Aabenraa",4048,382,9%,8%,40%,42%
Aabenraa,9015,"Øster Løgum,Aabenraa",548,82,15%,12%,42%,30%
Aabenraa,9017,"Hellevad,Aabenraa",474,63,13%,10%,44%,33%
Aabenraa,9018,"Egvad,Aabenraa",226,31,14%,10%,50%,26%
Aabenraa,9021,"Varnæs,Aabenraa",799,136,17%,6%,44%,33%
Aabenraa,9022,"Ensted,Aabenraa",1473,150,10%,9%,45%,36%
Aabenraa,9023,"Felsted,Aabenraa",1312,181,14%,9%,42%,35%
Aabenraa,9024,"Holbøl,Aabenraa",849,124,15%,6%,47%,32%
Aabenraa,9026,"Uge,Aabenraa",302,61,20%,12%,42%,26%
Aabenraa,9027,"Kliplev,Aabenraa",1335,152,11%,9%,45%,35%
Aabenraa,9029,"Bov,Aabenraa",5300,834,16%,6%,40%,38%
Aabenraa,9056,"Burkal,Aabenraa",985,169,17%,9%,38%,36%
Aabenraa,9057,"Bylderup,Aabenraa",576,85,15%,9%,41%,35%
Aabenraa,9060,"Ravsted,Aabenraa",514,68,13%,9%,49%,29%
Aabenraa,9061,"Tinglev,Aabenraa",2155,268,12%,8%,41%,38%
Aabenraa,9260,"Genner,Aabenraa",590,59,10%,9%,41%,40%
Aalborg,,,133,84,63%,6%,8%,23%
Aalborg,8276,"Ejdrup,Aalborg",129,16,12%,15%,33%,40%
Aalborg,8318,"Gunderup,Aalborg",990,95,10%,23%,33%,34%
Aalborg,8319,"Nøvling,Aalborg",1407,78,6%,21%,33%,40%
Aalborg,8323,"Lillevorde,Aalborg",232,27,12%,25%,37%,26%
Aalborg,8324,"Mou,Aalborg",1762,135,8%,15%,32%,45%
Aalborg,8325,"Storvorde,Aalborg",1946,137,7%,25%,29%,39%
Aalborg,8326,"Sejlflod,Aalborg",399,63,16%,21%,26%,37%
Aalborg,8327,"Nibe,Aalborg",2785,174,6%,15%,29%,50%
Aalborg,8328,"Vokslev,Aalborg",1086,63,6%,25%,41%,28%
Aalborg,8329,"Sønderholm,Aalborg",990,83,8%,21%,34%,36%
Aalborg,8330,"Frejlev,Aalborg",2033,91,4%,27%,32%,37%
Aalborg,8331,"Nørholm,Aalborg",594,83,14%,16%,36%,34%
Aalborg,8332,"Ellidshøj,Aalborg",402,26,6%,22%,39%,33%
Aalborg,8333,"Svenstrup,Aalborg",3429,209,6%,21%,29%,44%
Aalborg,8342,"Bislev,Aalborg",409,35,9%,17%,37%,37%
Aalborg,8343,"S Kongerslev,Aalborg",905,92,10%,19%,32%,39%
Aalborg,8344,"N Kongerslev,Aalborg",295,34,12%,19%,35%,34%
Aalborg,8345,"Komdrup,Aalborg",93,<10,,,,
Aalborg,8356,"Sebber,Aalborg",540,43,8%,14%,33%,45%
Aalborg,8357,"St Ajstrup,Aalborg",121,19,16%,13%,31%,40%
Aalborg,8362,"Farstrup,Aalborg",575,79,14%,15%,31%,40%
Aalborg,8363,"Lundby,Aalborg",123,29,24%,22%,28%,26%
Aalborg,8364,"Domkirkens,Aalborg",3136,326,10%,21%,27%,42%
Aalborg,8365,"Ansgars,Aalborg",4148,355,9%,20%,27%,44%
Aalborg,8366,"Vor Frelsers,Aalborg",2521,332,13%,21%,25%,41%
Aalborg,8367,"Vesterkær,Aalborg",2152,202,9%,15%,27%,49%
Aalborg,8368,"Vor Frue,Aalborg",2766,314,11%,18%,26%,45%
Aalborg,8369,"Skt Markus,Aalborg",3965,463,12%,19%,27%,42%
Aalborg,8370,"S Tranders,Aalborg",6761,545,8%,21%,30%,41%
Aalborg,8371,"N Tranders,Aalborg",6830,1011,15%,19%,28%,38%
Aalborg,8372,"Vejgård,Aalborg",6966,691,10%,21%,30%,40%
Aalborg,8373,"Hans Egedes,Aalborg",4859,622,13%,18%,26%,43%
Aalborg,8374,"Hasseris,Aalborg",8028,374,5%,18%,31%,47%
Aalborg,8375,"Nørresundby,Aalborg",4444,457,10%,17%,27%,46%
Aalborg,8376,"Hvorup,Aalborg",3441,331,10%,17%,30%,43%
Aalborg,8377,"Lindholm,Aalborg",5840,649,11%,18%,28%,42%
Aalborg,8378,"Vadum,Aalborg",1953,150,8%,22%,28%,42%
Aalborg,8381,"Sulsted,Aalborg",2933,222,8%,23%,27%,42%
Aalborg,8382,"Ajstrup,Aalborg",1336,134,10%,21%,30%,38%
Aalborg,8383,"Horsens,Aalborg",772,78,10%,24%,32%,34%
Aalborg,8384,"Hammer,Aalborg",707,55,8%,19%,32%,41%
Aalborg,8385,"Vester Hassing,Aalbo",2055,124,6%,21%,31%,42%
Aalborg,8386,"Ulsted,Aalborg",842,103,12%,20%,31%,36%
