Regionsnavn_current,antal_foerste_vacc,antal_faerdig_vacc,Autorisation,antal_bor
Hovedstaden,1203,1098,Bioanalytiker,1236
Hovedstaden,4104,3837,"Ergoterapeut, Fysioterapeut, Kiropraktor",4145
Hovedstaden,48614,43498,Ingen autorisation,49218
Hovedstaden,8618,8204,Læge,8705
Hovedstaden,8341,7765,Social- og sundhedsassistent,8436
Hovedstaden,15737,14860,Sygeplejerske,15896
Hovedstaden,1704,1561,"Tandlæge, Tandplejer, Klinisk tandtekniker",1721
Hovedstaden,2644,2443,Øvrige autoriserede,2671
Midtjylland,1081,975,Bioanalytiker,1092
Midtjylland,3833,3542,"Ergoterapeut, Fysioterapeut, Kiropraktor",3872
Midtjylland,38249,34567,Ingen autorisation,38635
Midtjylland,4998,4755,Læge,5048
Midtjylland,7084,6629,Social- og sundhedsassistent,7156
Midtjylland,12670,11858,Sygeplejerske,12798
Midtjylland,1226,1108,"Tandlæge, Tandplejer, Klinisk tandtekniker",1238
Midtjylland,1700,1543,Øvrige autoriserede,1721
Nordjylland,405,396,Bioanalytiker,409
Nordjylland,1240,1156,"Ergoterapeut, Fysioterapeut, Kiropraktor",1253
Nordjylland,18277,16609,Ingen autorisation,18462
Nordjylland,1556,1482,Læge,1572
Nordjylland,4416,4183,Social- og sundhedsassistent,4461
Nordjylland,5610,5217,Sygeplejerske,5667
Nordjylland,293,243,"Tandlæge, Tandplejer, Klinisk tandtekniker",298
Nordjylland,676,611,Øvrige autoriserede,683
Sjælland,715,688,Bioanalytiker,722
Sjælland,1783,1679,"Ergoterapeut, Fysioterapeut, Kiropraktor",1801
Sjælland,25235,22997,Ingen autorisation,25490
Sjælland,1540,1480,Læge,1556
Sjælland,5654,5280,Social- og sundhedsassistent,5711
Sjælland,7253,6837,Sygeplejerske,7326
Sjælland,501,468,"Tandlæge, Tandplejer, Klinisk tandtekniker",506
Sjælland,1045,980,Øvrige autoriserede,1056
Syddanmark,874,777,Bioanalytiker,887
Syddanmark,2580,2366,"Ergoterapeut, Fysioterapeut, Kiropraktor",2606
Syddanmark,31317,28134,Ingen autorisation,31633
Syddanmark,4001,3808,Læge,4041
Syddanmark,7420,6958,Social- og sundhedsassistent,7495
Syddanmark,10083,9445,Sygeplejerske,10185
Syddanmark,704,613,"Tandlæge, Tandplejer, Klinisk tandtekniker",711
Syddanmark,1663,1522,Øvrige autoriserede,1683
