"Første vacc. dato","regionskode_current","Regionsnavn","Antal første vacc.","regionskode_num"
2020-12-17,1084,Hovedstaden,1,1084
2020-12-19,1084,Hovedstaden,1,1084
2020-12-21,1084,Hovedstaden,1,1084
2020-12-22,1083,Syddanmark,1,1083
2020-12-23,1082,Midtjylland,1,1082
2020-12-23,1084,Hovedstaden,2,1084
2020-12-24,1084,Hovedstaden,1,1084
2020-12-26,1085,Sjælland,1,1085
2020-12-27,1081,Nordjylland,1020,1081
2020-12-27,1082,Midtjylland,1867,1082
2020-12-27,1083,Syddanmark,466,1083
2020-12-27,1084,Hovedstaden,1610,1084
2020-12-27,1085,Sjælland,1317,1085
2020-12-28,1081,Nordjylland,103,1081
2020-12-28,1082,Midtjylland,196,1082
2020-12-28,1083,Syddanmark,653,1083
2020-12-28,1084,Hovedstaden,497,1084
2020-12-28,1085,Sjælland,552,1085
2020-12-29,1081,Nordjylland,315,1081
2020-12-29,1082,Midtjylland,1069,1082
2020-12-29,1083,Syddanmark,1867,1083
2020-12-29,1084,Hovedstaden,3523,1084
2020-12-29,1085,Sjælland,1941,1085
2020-12-30,1081,Nordjylland,2201,1081
2020-12-30,1082,Midtjylland,1226,1082
2020-12-30,1083,Syddanmark,2414,1083
2020-12-30,1084,Hovedstaden,3453,1084
2020-12-30,1085,Sjælland,1851,1085
2020-12-31,1081,Nordjylland,658,1081
2020-12-31,1082,Midtjylland,1104,1082
2020-12-31,1083,Syddanmark,1295,1083
2020-12-31,1084,Hovedstaden,1619,1084
2020-12-31,1085,Sjælland,1290,1085
2021-01-01,1081,Nordjylland,7,1081
2021-01-01,1082,Midtjylland,126,1082
2021-01-01,1083,Syddanmark,656,1083
2021-01-01,1084,Hovedstaden,1194,1084
2021-01-01,1085,Sjælland,290,1085
2021-01-02,1081,Nordjylland,1654,1081
2021-01-02,1082,Midtjylland,2323,1082
2021-01-02,1083,Syddanmark,1920,1083
2021-01-02,1084,Hovedstaden,2274,1084
2021-01-02,1085,Sjælland,393,1085
2021-01-03,1081,Nordjylland,16,1081
2021-01-03,1082,Midtjylland,2889,1082
2021-01-03,1083,Syddanmark,775,1083
2021-01-03,1084,Hovedstaden,1996,1084
2021-01-03,1085,Sjælland,93,1085
2021-01-04,1081,Nordjylland,1017,1081
2021-01-04,1082,Midtjylland,58,1082
2021-01-04,1083,Syddanmark,947,1083
2021-01-04,1084,Hovedstaden,356,1084
2021-01-04,1085,Sjælland,21,1085
2021-01-05,1081,Nordjylland,2125,1081
2021-01-05,1082,Midtjylland,2793,1082
2021-01-05,1083,Syddanmark,1142,1083
2021-01-05,1084,Hovedstaden,6516,1084
2021-01-05,1085,Sjælland,547,1085
2021-01-06,1081,Nordjylland,2704,1081
2021-01-06,1082,Midtjylland,4189,1082
2021-01-06,1083,Syddanmark,3598,1083
2021-01-06,1084,Hovedstaden,6697,1084
2021-01-06,1085,Sjælland,1948,1085
2021-01-07,1081,Nordjylland,1099,1081
2021-01-07,1082,Midtjylland,4254,1082
2021-01-07,1083,Syddanmark,4297,1083
2021-01-07,1084,Hovedstaden,5533,1084
2021-01-07,1085,Sjælland,1787,1085
2021-01-08,1081,Nordjylland,223,1081
2021-01-08,1082,Midtjylland,2671,1082
2021-01-08,1083,Syddanmark,3233,1083
2021-01-08,1084,Hovedstaden,751,1084
2021-01-08,1085,Sjælland,1334,1085
2021-01-09,1081,Nordjylland,31,1081
2021-01-09,1082,Midtjylland,722,1082
2021-01-09,1083,Syddanmark,30,1083
2021-01-09,1084,Hovedstaden,113,1084
2021-01-09,1085,Sjælland,980,1085
2021-01-10,1081,Nordjylland,1,1081
2021-01-10,1082,Midtjylland,1,1082
2021-01-10,1083,Syddanmark,18,1083
2021-01-10,1084,Hovedstaden,133,1084
2021-01-10,1085,Sjælland,664,1085
2021-01-11,1081,Nordjylland,3,1081
2021-01-11,1082,Midtjylland,19,1082
2021-01-11,1083,Syddanmark,18,1083
2021-01-11,1084,Hovedstaden,94,1084
2021-01-11,1085,Sjælland,525,1085
2021-01-12,1081,Nordjylland,4,1081
2021-01-12,1082,Midtjylland,13,1082
2021-01-12,1083,Syddanmark,12,1083
2021-01-12,1084,Hovedstaden,69,1084
2021-01-12,1085,Sjælland,361,1085
2021-01-13,1081,Nordjylland,487,1081
2021-01-13,1082,Midtjylland,1952,1082
2021-01-13,1083,Syddanmark,2286,1083
2021-01-13,1084,Hovedstaden,6907,1084
2021-01-13,1085,Sjælland,922,1085
2021-01-14,1081,Nordjylland,685,1081
2021-01-14,1082,Midtjylland,2807,1082
2021-01-14,1083,Syddanmark,3666,1083
2021-01-14,1084,Hovedstaden,8543,1084
2021-01-14,1085,Sjælland,1911,1085
2021-01-15,1081,Nordjylland,1313,1081
2021-01-15,1082,Midtjylland,3171,1082
2021-01-15,1083,Syddanmark,4049,1083
2021-01-15,1084,Hovedstaden,5430,1084
2021-01-15,1085,Sjælland,966,1085
2021-01-16,1081,Nordjylland,1263,1081
2021-01-16,1082,Midtjylland,903,1082
2021-01-16,1083,Syddanmark,1444,1083
2021-01-16,1084,Hovedstaden,852,1084
2021-01-16,1085,Sjælland,56,1085
2021-01-17,1081,Nordjylland,1098,1081
2021-01-17,1082,Midtjylland,24,1082
2021-01-17,1083,Syddanmark,1239,1083
2021-01-17,1084,Hovedstaden,50,1084
2021-01-17,1085,Sjælland,34,1085
2021-01-18,1081,Nordjylland,658,1081
2021-01-18,1082,Midtjylland,1602,1082
2021-01-18,1083,Syddanmark,1399,1083
2021-01-18,1084,Hovedstaden,23,1084
2021-01-18,1085,Sjælland,97,1085
2021-01-19,1081,Nordjylland,25,1081
2021-01-19,1082,Midtjylland,1800,1082
2021-01-19,1083,Syddanmark,403,1083
2021-01-19,1084,Hovedstaden,42,1084
2021-01-19,1085,Sjælland,160,1085
2021-01-20,1081,Nordjylland,18,1081
2021-01-20,1082,Midtjylland,991,1082
2021-01-20,1083,Syddanmark,203,1083
2021-01-20,1084,Hovedstaden,22,1084
2021-01-20,1085,Sjælland,246,1085
2021-01-21,1081,Nordjylland,15,1081
2021-01-21,1082,Midtjylland,1145,1082
2021-01-21,1083,Syddanmark,137,1083
2021-01-21,1084,Hovedstaden,24,1084
2021-01-21,1085,Sjælland,171,1085
2021-01-22,1081,Nordjylland,162,1081
2021-01-22,1082,Midtjylland,169,1082
2021-01-22,1083,Syddanmark,146,1083
2021-01-22,1084,Hovedstaden,45,1084
2021-01-22,1085,Sjælland,132,1085
2021-01-23,1081,Nordjylland,59,1081
2021-01-23,1082,Midtjylland,94,1082
2021-01-23,1083,Syddanmark,1,1083
2021-01-23,1084,Hovedstaden,545,1084
2021-01-23,1085,Sjælland,26,1085
2021-01-24,1081,Nordjylland,20,1081
2021-01-24,1082,Midtjylland,76,1082
2021-01-24,1083,Syddanmark,2,1083
2021-01-24,1084,Hovedstaden,474,1084
2021-01-24,1085,Sjælland,20,1085
2021-01-25,1081,Nordjylland,23,1081
2021-01-25,1082,Midtjylland,9,1082
2021-01-25,1083,Syddanmark,140,1083
2021-01-25,1084,Hovedstaden,47,1084
2021-01-25,1085,Sjælland,55,1085
2021-01-26,1081,Nordjylland,2,1081
2021-01-26,1082,Midtjylland,8,1082
2021-01-26,1083,Syddanmark,96,1083
2021-01-26,1084,Hovedstaden,13,1084
2021-01-26,1085,Sjælland,90,1085
2021-01-27,1081,Nordjylland,1,1081
2021-01-27,1082,Midtjylland,29,1082
2021-01-27,1083,Syddanmark,83,1083
2021-01-27,1084,Hovedstaden,12,1084
2021-01-27,1085,Sjælland,75,1085
2021-01-28,1081,Nordjylland,22,1081
2021-01-28,1082,Midtjylland,11,1082
2021-01-28,1083,Syddanmark,34,1083
2021-01-28,1084,Hovedstaden,14,1084
2021-01-28,1085,Sjælland,135,1085
2021-01-29,1081,Nordjylland,63,1081
2021-01-29,1082,Midtjylland,278,1082
2021-01-29,1083,Syddanmark,69,1083
2021-01-29,1084,Hovedstaden,427,1084
2021-01-29,1085,Sjælland,249,1085
2021-01-30,1081,Nordjylland,66,1081
2021-01-30,1082,Midtjylland,178,1082
2021-01-30,1083,Syddanmark,122,1083
2021-01-30,1084,Hovedstaden,404,1084
2021-01-30,1085,Sjælland,411,1085
2021-01-31,1081,Nordjylland,96,1081
2021-01-31,1082,Midtjylland,416,1082
2021-01-31,1083,Syddanmark,139,1083
2021-01-31,1084,Hovedstaden,318,1084
2021-01-31,1085,Sjælland,218,1085
2021-02-01,1081,Nordjylland,94,1081
2021-02-01,1082,Midtjylland,89,1082
2021-02-01,1083,Syddanmark,200,1083
2021-02-01,1084,Hovedstaden,56,1084
2021-02-01,1085,Sjælland,307,1085
2021-02-02,1081,Nordjylland,17,1081
2021-02-02,1082,Midtjylland,76,1082
2021-02-02,1083,Syddanmark,525,1083
2021-02-02,1084,Hovedstaden,48,1084
2021-02-02,1085,Sjælland,1321,1085
2021-02-03,1081,Nordjylland,4,1081
2021-02-03,1082,Midtjylland,22,1082
2021-02-03,1083,Syddanmark,427,1083
2021-02-03,1084,Hovedstaden,45,1084
2021-02-03,1085,Sjælland,1008,1085
2021-02-04,1081,Nordjylland,860,1081
2021-02-04,1082,Midtjylland,44,1082
2021-02-04,1083,Syddanmark,348,1083
2021-02-04,1084,Hovedstaden,48,1084
2021-02-04,1085,Sjælland,101,1085
2021-02-05,1081,Nordjylland,780,1081
2021-02-05,1082,Midtjylland,288,1082
2021-02-05,1083,Syddanmark,220,1083
2021-02-05,1084,Hovedstaden,30,1084
2021-02-05,1085,Sjælland,241,1085
2021-02-06,1081,Nordjylland,365,1081
2021-02-06,1082,Midtjylland,17,1082
2021-02-06,1083,Syddanmark,70,1083
2021-02-06,1084,Hovedstaden,323,1084
2021-02-06,1085,Sjælland,226,1085
2021-02-07,1081,Nordjylland,714,1081
2021-02-07,1082,Midtjylland,16,1082
2021-02-07,1083,Syddanmark,98,1083
2021-02-07,1084,Hovedstaden,105,1084
2021-02-07,1085,Sjælland,939,1085
2021-02-08,1081,Nordjylland,573,1081
2021-02-08,1082,Midtjylland,226,1082
2021-02-08,1083,Syddanmark,574,1083
2021-02-08,1084,Hovedstaden,1005,1084
2021-02-08,1085,Sjælland,129,1085
2021-02-09,1081,Nordjylland,67,1081
2021-02-09,1082,Midtjylland,509,1082
2021-02-09,1083,Syddanmark,893,1083
2021-02-09,1084,Hovedstaden,1494,1084
2021-02-09,1085,Sjælland,552,1085
2021-02-10,1081,Nordjylland,54,1081
2021-02-10,1082,Midtjylland,775,1082
2021-02-10,1083,Syddanmark,1003,1083
2021-02-10,1084,Hovedstaden,506,1084
2021-02-10,1085,Sjælland,923,1085
2021-02-11,1081,Nordjylland,460,1081
2021-02-11,1082,Midtjylland,635,1082
2021-02-11,1083,Syddanmark,1230,1083
2021-02-11,1084,Hovedstaden,1561,1084
2021-02-11,1085,Sjælland,1789,1085
2021-02-12,1081,Nordjylland,1270,1081
2021-02-12,1082,Midtjylland,4631,1082
2021-02-12,1083,Syddanmark,1893,1083
2021-02-12,1084,Hovedstaden,1472,1084
2021-02-12,1085,Sjælland,2795,1085
2021-02-13,1081,Nordjylland,7,1081
2021-02-13,1082,Midtjylland,2652,1082
2021-02-13,1083,Syddanmark,1128,1083
2021-02-13,1084,Hovedstaden,54,1084
2021-02-13,1085,Sjælland,2684,1085
2021-02-14,1081,Nordjylland,258,1081
2021-02-14,1082,Midtjylland,1653,1082
2021-02-14,1083,Syddanmark,2184,1083
2021-02-14,1084,Hovedstaden,271,1084
2021-02-14,1085,Sjælland,1832,1085
2021-02-15,1081,Nordjylland,144,1081
2021-02-15,1082,Midtjylland,4358,1082
2021-02-15,1083,Syddanmark,2605,1083
2021-02-15,1084,Hovedstaden,4046,1084
2021-02-15,1085,Sjælland,2588,1085
2021-02-16,1081,Nordjylland,194,1081
2021-02-16,1082,Midtjylland,3690,1082
2021-02-16,1083,Syddanmark,1977,1083
2021-02-16,1084,Hovedstaden,4542,1084
2021-02-16,1085,Sjælland,2767,1085
2021-02-17,1081,Nordjylland,1271,1081
2021-02-17,1082,Midtjylland,2404,1082
2021-02-17,1083,Syddanmark,2299,1083
2021-02-17,1084,Hovedstaden,1140,1084
2021-02-17,1085,Sjælland,3297,1085
2021-02-18,1081,Nordjylland,1869,1081
2021-02-18,1082,Midtjylland,2175,1082
2021-02-18,1083,Syddanmark,2026,1083
2021-02-18,1084,Hovedstaden,3655,1084
2021-02-18,1085,Sjælland,1716,1085
2021-02-19,1081,Nordjylland,2126,1081
2021-02-19,1082,Midtjylland,3310,1082
2021-02-19,1083,Syddanmark,3276,1083
2021-02-19,1084,Hovedstaden,3562,1084
2021-02-19,1085,Sjælland,1557,1085
2021-02-20,1081,Nordjylland,2558,1081
2021-02-20,1082,Midtjylland,1094,1082
2021-02-20,1083,Syddanmark,2483,1083
2021-02-20,1084,Hovedstaden,2897,1084
2021-02-20,1085,Sjælland,1399,1085
2021-02-21,1081,Nordjylland,1751,1081
2021-02-21,1082,Midtjylland,1040,1082
2021-02-21,1083,Syddanmark,2907,1083
2021-02-21,1084,Hovedstaden,3200,1084
2021-02-21,1085,Sjælland,1834,1085
2021-02-22,1081,Nordjylland,788,1081
2021-02-22,1082,Midtjylland,3514,1082
2021-02-22,1083,Syddanmark,3731,1083
2021-02-22,1084,Hovedstaden,3651,1084
2021-02-22,1085,Sjælland,1778,1085
2021-02-23,1081,Nordjylland,397,1081
2021-02-23,1082,Midtjylland,5217,1082
2021-02-23,1083,Syddanmark,3163,1083
2021-02-23,1084,Hovedstaden,3642,1084
2021-02-23,1085,Sjælland,1916,1085
2021-02-24,1081,Nordjylland,593,1081
2021-02-24,1082,Midtjylland,3668,1082
2021-02-24,1083,Syddanmark,3112,1083
2021-02-24,1084,Hovedstaden,4397,1084
2021-02-24,1085,Sjælland,1890,1085
2021-02-25,1081,Nordjylland,1962,1081
2021-02-25,1082,Midtjylland,2109,1082
2021-02-25,1083,Syddanmark,2772,1083
2021-02-25,1084,Hovedstaden,6198,1084
2021-02-25,1085,Sjælland,1466,1085
2021-02-26,1081,Nordjylland,5355,1081
2021-02-26,1082,Midtjylland,8590,1082
2021-02-26,1083,Syddanmark,8770,1083
2021-02-26,1084,Hovedstaden,8942,1084
2021-02-26,1085,Sjælland,4291,1085
2021-02-27,1081,Nordjylland,9,1081
2021-02-27,1082,Midtjylland,685,1082
2021-02-27,1083,Syddanmark,1985,1083
2021-02-27,1084,Hovedstaden,3101,1084
2021-02-27,1085,Sjælland,853,1085
2021-02-28,1081,Nordjylland,2228,1081
2021-02-28,1082,Midtjylland,982,1082
2021-02-28,1083,Syddanmark,2040,1083
2021-02-28,1084,Hovedstaden,4782,1084
2021-02-28,1085,Sjælland,898,1085
2021-03-01,1081,Nordjylland,2657,1081
2021-03-01,1082,Midtjylland,4471,1082
2021-03-01,1083,Syddanmark,3764,1083
2021-03-01,1084,Hovedstaden,6235,1084
2021-03-01,1085,Sjælland,2560,1085
2021-03-02,1081,Nordjylland,759,1081
2021-03-02,1082,Midtjylland,4828,1082
2021-03-02,1083,Syddanmark,3011,1083
2021-03-02,1084,Hovedstaden,6721,1084
2021-03-02,1085,Sjælland,1364,1085
