0 [5.00e-01, 5.00e-01]
1 [4.99e-01, 4.99e-01]
2 [4.98e-01, 4.98e-01]
3 [4.97e-01, 4.97e-01]
4 [4.97e-01, 4.96e-01]
5 [4.96e-01, 4.95e-01]
6 [4.95e-01, 4.94e-01]
7 [4.94e-01, 4.93e-01]
8 [4.93e-01, 4.92e-01]
9 [4.92e-01, 4.91e-01]
10 [4.91e-01, 4.90e-01]
11 [4.90e-01, 4.89e-01]
12 [4.89e-01, 4.88e-01]
13 [4.88e-01, 4.87e-01]
14 [4.87e-01, 4.86e-01]
15 [4.86e-01, 4.85e-01]
16 [4.85e-01, 4.84e-01]
17 [4.84e-01, 4.83e-01]
18 [4.83e-01, 4.82e-01]
19 [4.82e-01, 4.81e-01]
20 [4.81e-01, 4.80e-01]
21 [4.80e-01, 4.79e-01]
22 [4.79e-01, 4.78e-01]
23 [4.78e-01, 4.77e-01]
24 [4.77e-01, 4.77e-01]
25 [4.76e-01, 4.76e-01]
26 [4.76e-01, 4.75e-01]
27 [4.75e-01, 4.75e-01]
28 [4.74e-01, 4.74e-01]
29 [4.74e-01, 4.74e-01]
30 [4.73e-01, 4.73e-01]
31 [4.73e-01, 4.73e-01]
32 [4.73e-01, 4.72e-01]
33 [4.72e-01, 4.72e-01]
34 [4.72e-01, 4.72e-01]
35 [4.71e-01, 4.71e-01]
36 [4.71e-01, 4.71e-01]
37 [4.71e-01, 4.71e-01]
38 [4.71e-01, 4.70e-01]
39 [4.70e-01, 4.70e-01]
40 [4.70e-01, 4.70e-01]
41 [4.70e-01, 4.70e-01]
42 [4.70e-01, 4.70e-01]
43 [4.70e-01, 4.69e-01]
44 [4.70e-01, 4.69e-01]
45 [4.69e-01, 4.69e-01]
46 [4.69e-01, 4.69e-01]
47 [4.69e-01, 4.68e-01]
48 [4.69e-01, 4.68e-01]
49 [4.69e-01, 4.68e-01]
50 [4.69e-01, 4.68e-01]
51 [4.69e-01, 4.67e-01]
52 [4.69e-01, 4.67e-01]
53 [4.69e-01, 4.67e-01]
54 [4.69e-01, 4.67e-01]
55 [4.69e-01, 4.67e-01]
56 [4.68e-01, 4.67e-01]
57 [4.68e-01, 4.67e-01]
58 [4.68e-01, 4.66e-01]
59 [4.68e-01, 4.66e-01]
60 [4.68e-01, 4.66e-01]
61 [4.68e-01, 4.66e-01]
62 [4.68e-01, 4.66e-01]
63 [4.68e-01, 4.66e-01]
64 [4.68e-01, 4.66e-01]
65 [4.68e-01, 4.66e-01]
66 [4.68e-01, 4.66e-01]
67 [4.68e-01, 4.66e-01]
68 [4.68e-01, 4.66e-01]
69 [4.68e-01, 4.66e-01]
70 [4.68e-01, 4.66e-01]
71 [4.68e-01, 4.65e-01]
72 [4.68e-01, 4.65e-01]
73 [4.68e-01, 4.65e-01]
74 [4.68e-01, 4.65e-01]
75 [4.68e-01, 4.65e-01]
76 [4.68e-01, 4.65e-01]
77 [4.68e-01, 4.65e-01]
78 [4.68e-01, 4.65e-01]
79 [4.68e-01, 4.65e-01]
80 [4.68e-01, 4.65e-01]
81 [4.68e-01, 4.65e-01]
82 [4.68e-01, 4.65e-01]
83 [4.68e-01, 4.65e-01]
84 [4.68e-01, 4.65e-01]
85 [4.68e-01, 4.65e-01]
86 [4.68e-01, 4.65e-01]
87 [4.68e-01, 4.65e-01]
88 [4.68e-01, 4.65e-01]
89 [4.68e-01, 4.65e-01]
90 [4.68e-01, 4.65e-01]
91 [4.68e-01, 4.65e-01]
92 [4.68e-01, 4.65e-01]
93 [4.68e-01, 4.65e-01]
94 [4.68e-01, 4.65e-01]
95 [4.68e-01, 4.65e-01]
96 [4.68e-01, 4.65e-01]
97 [4.68e-01, 4.65e-01]
98 [4.68e-01, 4.65e-01]
99 [4.68e-01, 4.65e-01]
100 [4.68e-01, 4.65e-01]
101 [4.68e-01, 4.65e-01]
102 [4.68e-01, 4.65e-01]
103 [4.68e-01, 4.65e-01]
104 [4.68e-01, 4.65e-01]
105 [4.68e-01, 4.65e-01]
106 [4.68e-01, 4.65e-01]
107 [4.68e-01, 4.65e-01]
108 [4.68e-01, 4.65e-01]
109 [4.68e-01, 4.65e-01]
110 [4.68e-01, 4.65e-01]
111 [4.68e-01, 4.65e-01]
112 [4.68e-01, 4.65e-01]
113 [4.68e-01, 4.65e-01]
114 [4.68e-01, 4.65e-01]
115 [4.68e-01, 4.65e-01]
116 [4.68e-01, 4.65e-01]
117 [4.68e-01, 4.65e-01]
118 [4.68e-01, 4.65e-01]
119 [4.68e-01, 4.65e-01]
120 [4.68e-01, 4.65e-01]
121 [4.68e-01, 4.65e-01]
122 [4.68e-01, 4.65e-01]
123 [4.68e-01, 4.65e-01]
124 [4.68e-01, 4.65e-01]
125 [4.68e-01, 4.65e-01]
126 [4.68e-01, 4.65e-01]
127 [4.68e-01, 4.65e-01]
128 [4.68e-01, 4.65e-01]
129 [4.68e-01, 4.65e-01]
130 [4.68e-01, 4.65e-01]
131 [4.68e-01, 4.65e-01]
132 [4.68e-01, 4.65e-01]
133 [4.68e-01, 4.65e-01]
134 [4.68e-01, 4.65e-01]
135 [4.68e-01, 4.65e-01]
136 [4.68e-01, 4.65e-01]
137 [4.68e-01, 4.65e-01]
138 [4.68e-01, 4.65e-01]
139 [4.68e-01, 4.65e-01]
140 [4.68e-01, 4.65e-01]
141 [4.68e-01, 4.65e-01]
142 [4.68e-01, 4.65e-01]
143 [4.68e-01, 4.65e-01]
144 [4.68e-01, 4.65e-01]
145 [4.68e-01, 4.65e-01]
146 [4.68e-01, 4.65e-01]
147 [4.68e-01, 4.65e-01]
148 [4.68e-01, 4.65e-01]
149 [4.68e-01, 4.65e-01]
150 [4.68e-01, 4.65e-01]
151 [4.68e-01, 4.65e-01]
152 [4.68e-01, 4.65e-01]
153 [4.68e-01, 4.65e-01]
154 [4.68e-01, 4.65e-01]
155 [4.68e-01, 4.65e-01]
156 [4.68e-01, 4.65e-01]
157 [4.68e-01, 4.65e-01]
158 [4.68e-01, 4.65e-01]
159 [4.68e-01, 4.65e-01]
160 [4.68e-01, 4.65e-01]
161 [4.68e-01, 4.65e-01]
162 [4.68e-01, 4.65e-01]
163 [4.68e-01, 4.65e-01]
164 [4.68e-01, 4.65e-01]
165 [4.68e-01, 4.65e-01]
166 [4.68e-01, 4.65e-01]
167 [4.68e-01, 4.65e-01]
168 [4.68e-01, 4.65e-01]
169 [4.68e-01, 4.65e-01]
170 [4.68e-01, 4.65e-01]
171 [4.68e-01, 4.65e-01]
172 [4.68e-01, 4.65e-01]
173 [4.68e-01, 4.65e-01]
174 [4.68e-01, 4.65e-01]
175 [4.68e-01, 4.65e-01]
176 [4.68e-01, 4.65e-01]
177 [4.68e-01, 4.65e-01]
178 [4.68e-01, 4.65e-01]
179 [4.68e-01, 4.65e-01]
180 [4.68e-01, 4.65e-01]
181 [4.68e-01, 4.65e-01]
182 [4.68e-01, 4.65e-01]
183 [4.68e-01, 4.65e-01]
184 [4.68e-01, 4.65e-01]
185 [4.68e-01, 4.65e-01]
186 [4.68e-01, 4.65e-01]
187 [4.68e-01, 4.65e-01]
188 [4.68e-01, 4.65e-01]
189 [4.68e-01, 4.65e-01]
190 [4.68e-01, 4.65e-01]
191 [4.68e-01, 4.65e-01]
192 [4.68e-01, 4.65e-01]
193 [4.68e-01, 4.65e-01]
194 [4.68e-01, 4.65e-01]
195 [4.68e-01, 4.65e-01]
196 [4.68e-01, 4.65e-01]
197 [4.68e-01, 4.65e-01]
198 [4.68e-01, 4.65e-01]
199 [4.68e-01, 4.65e-01]
200 [4.68e-01, 4.65e-01]
201 [4.68e-01, 4.65e-01]
202 [4.68e-01, 4.65e-01]
203 [4.68e-01, 4.65e-01]
204 [4.68e-01, 4.65e-01]
205 [4.68e-01, 4.65e-01]
206 [4.68e-01, 4.65e-01]
207 [4.68e-01, 4.65e-01]
208 [4.68e-01, 4.65e-01]
209 [4.68e-01, 4.65e-01]
210 [4.68e-01, 4.65e-01]
211 [4.68e-01, 4.65e-01]
212 [4.68e-01, 4.65e-01]
213 [4.68e-01, 4.65e-01]
214 [4.68e-01, 4.65e-01]
215 [4.68e-01, 4.65e-01]
216 [4.68e-01, 4.65e-01]
217 [4.68e-01, 4.65e-01]
218 [4.68e-01, 4.65e-01]
219 [4.68e-01, 4.65e-01]
220 [4.68e-01, 4.65e-01]
221 [4.68e-01, 4.65e-01]
222 [4.68e-01, 4.65e-01]
223 [4.68e-01, 4.65e-01]
224 [4.68e-01, 4.65e-01]
225 [4.68e-01, 4.65e-01]
226 [4.68e-01, 4.65e-01]
227 [4.68e-01, 4.65e-01]
228 [4.68e-01, 4.65e-01]
229 [4.68e-01, 4.65e-01]
230 [4.68e-01, 4.65e-01]
231 [4.68e-01, 4.65e-01]
232 [4.68e-01, 4.65e-01]
233 [4.68e-01, 4.65e-01]
234 [4.68e-01, 4.65e-01]
235 [4.68e-01, 4.65e-01]
236 [4.68e-01, 4.65e-01]
237 [4.68e-01, 4.65e-01]
238 [4.68e-01, 4.65e-01]
239 [4.68e-01, 4.65e-01]
240 [4.68e-01, 4.65e-01]
241 [4.68e-01, 4.65e-01]
242 [4.68e-01, 4.65e-01]
243 [4.68e-01, 4.65e-01]
244 [4.68e-01, 4.65e-01]
245 [4.68e-01, 4.65e-01]
246 [4.68e-01, 4.64e-01]
247 [4.68e-01, 4.64e-01]
248 [4.68e-01, 4.64e-01]
249 [4.68e-01, 4.64e-01]
250 [4.68e-01, 4.64e-01]
251 [4.68e-01, 4.64e-01]
252 [4.68e-01, 4.64e-01]
253 [4.68e-01, 4.64e-01]
254 [4.68e-01, 4.64e-01]
255 [4.68e-01, 4.64e-01]
256 [4.68e-01, 4.64e-01]
257 [4.68e-01, 4.64e-01]
258 [4.68e-01, 4.64e-01]
259 [4.68e-01, 4.64e-01]
260 [4.68e-01, 4.64e-01]
261 [4.68e-01, 4.64e-01]
262 [4.68e-01, 4.64e-01]
263 [4.68e-01, 4.64e-01]
264 [4.68e-01, 4.64e-01]
265 [4.68e-01, 4.64e-01]
266 [4.68e-01, 4.64e-01]
267 [4.68e-01, 4.64e-01]
268 [4.68e-01, 4.64e-01]
269 [4.68e-01, 4.64e-01]
270 [4.68e-01, 4.64e-01]
271 [4.68e-01, 4.64e-01]
272 [4.68e-01, 4.64e-01]
273 [4.68e-01, 4.64e-01]
274 [4.68e-01, 4.64e-01]
275 [4.68e-01, 4.64e-01]
276 [4.68e-01, 4.64e-01]
277 [4.68e-01, 4.64e-01]
278 [4.68e-01, 4.64e-01]
