country,population
0,31732129
1,11935766
2,62090
3,3485151
4,9442862
5,83900473
6,166303498
7,3480
8,374745
9,3138
10,18920651
11,121392
12,11094
13,59610
14,37344795
15,200149
16,85042738
17,25778816
18,57559
19,703996
20,46745216
21,3329289
22,628053
23,25130817
24,4381579
25,83992949
26,2973463
27,54806012
28,67886011
29,225199937
30,117876227
31,41179350
32,44909353
33,1172362
34,16914985
35,28435940
36,2872933
37,314464
38,44616624
39,21497310
40,10269021
41,19127774
42,2486945
43,1215584
44,555987
45,801
46,126050804
47,9877
48,45605826
49,1002187
50,21497096
51,15117
52,1768734
53,69950850
54,6769146
55,55100
56,39835428
57,77355
58,38250
59,19647684
60,184400
61,1933
62,107204
63,17196301
64,5460721
65,85410
66,130262216
67,9119010
68,5139052
69,5101414
70,276361783
71,1866942
72,89561403
73,11931
74,437479
75,404914
76,8789774
77,6896663
78,5180203
79,11673021
80,20855735
81,548914
82,8141343
83,9991089
84,39511
85,170179
86,4775119
87,37797005
88,2587344
89,30490640
90,8697550
91,1444216107
92,13276513
93,18249860
94,6117924
95,33933610
96,6077
97,2397241
98,10370744
99,28427328
100,779898
101,65426179
102,12255433
103,60367477
104,10062991
105,18994962
106,8715494
107,33698
108,5465630
109,16359504
110,6702385
111,10167925
112,343353
113,4328550
114,98731
115,634814
116,279515
117,145934462
118,8478250
119,3263466
120,20915
121,104258327
122,2015494
123,6958532
124,9043070
125,331002651
126,32776194
127,17173099
128,9634164
129,13497244
130,10223342
131,5813298
132,2689862
133,442784
134,47123531
135,396913
136,19212361
137,107800
138,888451
139,6628356
140,98908
141,4982907
142,1403375
143,5518087
144,223368
145,1273433
146,29674920
147,30421
148,282530
149,34017
150,1748296
151,26378274
152,49049
153,54985698
154,2159079
155,111263
156,2968127
157,7275560
158,2828255
159,33359417
160,16946438
161,7219638
162,895312
163,56877
164,17565
165,2082658
166,4860643
167,1343873
168,43466819
169,38067903
170,17500658
171,1449896
172,27224265
173,6518499
174,15092171
175,10160169
176,4081651
177,35340683
178,10876
179,48
180,12451040
181,2278825
182,25788215
183,53544
184,16488
185,306448
186,1619
187,164093
188,11317505
189,51269185
190,106760
191,4919981
192,288218
193,113021
194,32163047
195,33935763
196,10708981
197,5896686
198,97338579
199,3601467
200,400020
201,104226
202,72167
203,790326
204,5223375
205,3979765
206,4033963
207,211400708
208,2930528
209,1393409038
210,9749627
211,4977
212,11541685
213,543617
214,287711
215,10953703
216,43412
217,60041994
218,59734218
219,17888475
220,11632326
221,11381378
222,39231
223,18169
224,1325185
225,5548360
226,213993437
227,5766
228,66497
229,591800
230,902906
231,51265844
232,2078724
233,39234
234,111046913
235,1373
