t x y x_est y_est
0.0 1.0 1.0 1.0 1.0
0.25 0.86904 0.93666 0.87135 0.93663
0.5 0.77346 0.85533 0.77717 0.85586
0.75 0.7078 0.7671 0.71221 0.76839
1.0 0.66657 0.67982 0.67116 0.68184
1.25 0.64526 0.59828 0.64969 0.60088
1.5 0.64057 0.52502 0.64455 0.52799
1.75 0.65027 0.461 0.65358 0.46416
2.0 0.67296 0.40627 0.67538 0.40946
2.25 0.70793 0.36037 0.70921 0.36344
2.5 0.75489 0.32263 0.75477 0.32547
2.75 0.81389 0.2923 0.81208 0.29482
3.0 0.88523 0.26872 0.88139 0.27085
3.25 0.96922 0.2514 0.96301 0.25304
3.5 1.06606 0.24005 1.05715 0.24108
3.75 1.17574 0.23463 1.16374 0.23492
4.0 1.29799 0.23534 1.28266 0.23469
4.25 1.43104 0.24291 1.41247 0.24101
4.5 1.57161 0.25861 1.5502 0.25502
4.75 1.7146 0.28428 1.69132 0.27839
5.0 1.85138 0.32263 1.82834 0.31355
5.25 1.9693 0.37693 1.94977 0.36365
5.5 2.05201 0.4504 2.04069 0.4318
5.75 2.08065 0.54557 2.08327 0.52082
6.0 2.03839 0.65964 2.06008 0.62971
6.25 1.92111 0.78279 1.96332 0.75056
6.5 1.74053 0.89852 1.80027 0.86912
6.75 1.52492 0.98588 1.59381 0.96574
7.0 1.30737 1.02966 1.37647 1.02293
7.25 1.11369 1.02633 1.17584 1.03373
7.5 0.95597 0.98347 1.00793 1.00259
7.75 0.83689 0.91292 0.87748 0.94047
8.0 0.75171 0.82817 0.78238 0.85988
8.25 0.69407 0.73979 0.71606 0.77276
8.5 0.65928 0.65409 0.67383 0.68619
8.75 0.64328 0.57509 0.65133 0.60505
9.0 0.64311 0.50471 0.64534 0.53182
9.25 0.65686 0.4436 0.65361 0.46755
9.5 0.68334 0.3917 0.67474 0.4124
9.75 0.72193 0.34843 0.70791 0.36602
10.0 0.77251 0.31304 0.75281 0.32766
