n alpha beta delta gamma
5.0 0.43578 0.80442 0.26304 0.37343
10.0 0.54856 1.0177 0.78802 1.0052
15.0 0.62168 1.15148 0.83899 1.04872
20.0 0.65454 1.21324 0.86433 1.07035
25.0 0.67025 1.24304 0.87661 1.08069
30.0 0.67821 1.25813 0.88261 1.08556
35.0 0.68398 1.26917 0.88731 1.08954
40.0 0.688 1.27692 0.89063 1.09236
45.0 0.68979 1.28034 0.89195 1.09341
50.0 0.69223 1.28505 0.89393 1.09507
55.0 0.69297 1.28646 0.89448 1.09551
60.0 0.69434 1.28911 0.89557 1.0964
65.0 0.69497 1.29032 0.89605 1.09679
70.0 0.69557 1.29147 0.89652 1.09718
75.0 0.69613 1.29254 0.89695 1.09752
80.0 0.69665 1.29355 0.89737 1.09787
85.0 0.69713 1.29448 0.89774 1.09816
90.0 0.69713 1.29448 0.89774 1.09816
95.0 0.69758 1.29534 0.89809 1.09845
100.0 0.69798 1.29613 0.89841 1.09871
