0 [5.00e-01, 5.00e-01]
1 [5.01e-01, 4.99e-01]
2 [5.02e-01, 4.98e-01]
3 [5.03e-01, 4.97e-01]
4 [5.04e-01, 4.96e-01]
5 [5.05e-01, 4.95e-01]
6 [5.06e-01, 4.94e-01]
7 [5.07e-01, 4.93e-01]
8 [5.08e-01, 4.92e-01]
9 [5.09e-01, 4.91e-01]
10 [5.10e-01, 4.90e-01]
11 [5.11e-01, 4.89e-01]
12 [5.12e-01, 4.88e-01]
13 [5.13e-01, 4.87e-01]
14 [5.14e-01, 4.86e-01]
15 [5.15e-01, 4.84e-01]
16 [5.17e-01, 4.83e-01]
17 [5.18e-01, 4.82e-01]
18 [5.19e-01, 4.81e-01]
19 [5.20e-01, 4.80e-01]
20 [5.21e-01, 4.79e-01]
21 [5.22e-01, 4.78e-01]
22 [5.23e-01, 4.77e-01]
23 [5.25e-01, 4.75e-01]
24 [5.26e-01, 4.74e-01]
25 [5.27e-01, 4.73e-01]
26 [5.28e-01, 4.72e-01]
27 [5.29e-01, 4.71e-01]
28 [5.31e-01, 4.69e-01]
29 [5.32e-01, 4.68e-01]
30 [5.33e-01, 4.67e-01]
31 [5.35e-01, 4.66e-01]
32 [5.36e-01, 4.64e-01]
33 [5.37e-01, 4.63e-01]
34 [5.38e-01, 4.62e-01]
35 [5.40e-01, 4.61e-01]
36 [5.41e-01, 4.59e-01]
37 [5.42e-01, 4.58e-01]
38 [5.43e-01, 4.57e-01]
39 [5.44e-01, 4.56e-01]
40 [5.46e-01, 4.55e-01]
41 [5.47e-01, 4.53e-01]
42 [5.48e-01, 4.52e-01]
43 [5.49e-01, 4.51e-01]
44 [5.49e-01, 4.50e-01]
45 [5.50e-01, 4.49e-01]
46 [5.51e-01, 4.48e-01]
47 [5.51e-01, 4.47e-01]
48 [5.51e-01, 4.46e-01]
49 [5.51e-01, 4.45e-01]
50 [5.51e-01, 4.44e-01]
51 [5.51e-01, 4.44e-01]
52 [5.50e-01, 4.43e-01]
53 [5.50e-01, 4.43e-01]
54 [5.49e-01, 4.42e-01]
55 [5.48e-01, 4.42e-01]
56 [5.47e-01, 4.41e-01]
57 [5.46e-01, 4.41e-01]
58 [5.44e-01, 4.41e-01]
59 [5.43e-01, 4.41e-01]
60 [5.42e-01, 4.41e-01]
61 [5.40e-01, 4.41e-01]
62 [5.39e-01, 4.41e-01]
63 [5.37e-01, 4.41e-01]
64 [5.36e-01, 4.42e-01]
65 [5.34e-01, 4.42e-01]
66 [5.33e-01, 4.42e-01]
67 [5.31e-01, 4.43e-01]
68 [5.29e-01, 4.43e-01]
69 [5.28e-01, 4.44e-01]
70 [5.26e-01, 4.44e-01]
71 [5.25e-01, 4.45e-01]
72 [5.23e-01, 4.45e-01]
73 [5.22e-01, 4.46e-01]
74 [5.21e-01, 4.46e-01]
75 [5.19e-01, 4.47e-01]
76 [5.18e-01, 4.47e-01]
77 [5.17e-01, 4.47e-01]
78 [5.16e-01, 4.48e-01]
79 [5.15e-01, 4.48e-01]
80 [5.14e-01, 4.48e-01]
81 [5.14e-01, 4.49e-01]
82 [5.13e-01, 4.49e-01]
83 [5.12e-01, 4.49e-01]
84 [5.12e-01, 4.49e-01]
85 [5.12e-01, 4.49e-01]
86 [5.12e-01, 4.49e-01]
87 [5.11e-01, 4.49e-01]
88 [5.11e-01, 4.49e-01]
89 [5.11e-01, 4.49e-01]
90 [5.11e-01, 4.49e-01]
91 [5.11e-01, 4.49e-01]
92 [5.11e-01, 4.49e-01]
93 [5.10e-01, 4.49e-01]
94 [5.10e-01, 4.49e-01]
95 [5.09e-01, 4.49e-01]
96 [5.08e-01, 4.50e-01]
97 [5.07e-01, 4.50e-01]
98 [5.06e-01, 4.51e-01]
99 [5.04e-01, 4.52e-01]
100 [5.03e-01, 4.53e-01]
101 [5.01e-01, 4.55e-01]
102 [4.99e-01, 4.56e-01]
103 [4.97e-01, 4.58e-01]
104 [4.95e-01, 4.59e-01]
105 [4.93e-01, 4.61e-01]
106 [4.91e-01, 4.63e-01]
107 [4.89e-01, 4.65e-01]
108 [4.86e-01, 4.67e-01]
109 [4.84e-01, 4.69e-01]
110 [4.82e-01, 4.72e-01]
111 [4.80e-01, 4.74e-01]
112 [4.77e-01, 4.76e-01]
113 [4.75e-01, 4.78e-01]
114 [4.72e-01, 4.81e-01]
115 [4.70e-01, 4.83e-01]
116 [4.68e-01, 4.85e-01]
117 [4.65e-01, 4.88e-01]
118 [4.63e-01, 4.90e-01]
119 [4.61e-01, 4.92e-01]
120 [4.58e-01, 4.95e-01]
121 [4.56e-01, 4.97e-01]
122 [4.53e-01, 5.00e-01]
123 [4.51e-01, 5.02e-01]
124 [4.48e-01, 5.05e-01]
125 [4.46e-01, 5.07e-01]
126 [4.43e-01, 5.09e-01]
127 [4.41e-01, 5.12e-01]
128 [4.38e-01, 5.14e-01]
129 [4.36e-01, 5.17e-01]
130 [4.34e-01, 5.19e-01]
131 [4.31e-01, 5.22e-01]
132 [4.29e-01, 5.24e-01]
133 [4.26e-01, 5.27e-01]
134 [4.24e-01, 5.29e-01]
135 [4.21e-01, 5.31e-01]
136 [4.19e-01, 5.34e-01]
137 [4.16e-01, 5.36e-01]
138 [4.14e-01, 5.39e-01]
139 [4.11e-01, 5.41e-01]
140 [4.09e-01, 5.44e-01]
141 [4.06e-01, 5.46e-01]
142 [4.04e-01, 5.49e-01]
143 [4.01e-01, 5.51e-01]
144 [3.99e-01, 5.53e-01]
145 [3.96e-01, 5.56e-01]
146 [3.94e-01, 5.58e-01]
147 [3.91e-01, 5.61e-01]
148 [3.89e-01, 5.63e-01]
149 [3.86e-01, 5.66e-01]
150 [3.84e-01, 5.68e-01]
151 [3.81e-01, 5.70e-01]
152 [3.79e-01, 5.73e-01]
153 [3.76e-01, 5.75e-01]
154 [3.74e-01, 5.78e-01]
155 [3.71e-01, 5.80e-01]
156 [3.69e-01, 5.82e-01]
157 [3.66e-01, 5.85e-01]
158 [3.64e-01, 5.87e-01]
159 [3.62e-01, 5.89e-01]
160 [3.59e-01, 5.92e-01]
161 [3.57e-01, 5.94e-01]
162 [3.54e-01, 5.96e-01]
163 [3.52e-01, 5.99e-01]
164 [3.49e-01, 6.01e-01]
165 [3.47e-01, 6.03e-01]
166 [3.44e-01, 6.06e-01]
167 [3.42e-01, 6.08e-01]
168 [3.40e-01, 6.10e-01]
169 [3.37e-01, 6.13e-01]
170 [3.35e-01, 6.15e-01]
171 [3.32e-01, 6.17e-01]
172 [3.30e-01, 6.20e-01]
173 [3.27e-01, 6.22e-01]
174 [3.25e-01, 6.24e-01]
175 [3.23e-01, 6.26e-01]
176 [3.20e-01, 6.29e-01]
177 [3.18e-01, 6.31e-01]
178 [3.15e-01, 6.33e-01]
179 [3.13e-01, 6.35e-01]
180 [3.11e-01, 6.38e-01]
181 [3.08e-01, 6.40e-01]
182 [3.06e-01, 6.42e-01]
183 [3.03e-01, 6.44e-01]
184 [3.01e-01, 6.46e-01]
185 [2.99e-01, 6.49e-01]
186 [2.96e-01, 6.51e-01]
187 [2.94e-01, 6.53e-01]
188 [2.92e-01, 6.55e-01]
189 [2.89e-01, 6.57e-01]
190 [2.87e-01, 6.59e-01]
191 [2.85e-01, 6.61e-01]
192 [2.82e-01, 6.64e-01]
193 [2.80e-01, 6.66e-01]
194 [2.78e-01, 6.68e-01]
195 [2.75e-01, 6.70e-01]
196 [2.73e-01, 6.72e-01]
197 [2.71e-01, 6.74e-01]
198 [2.68e-01, 6.76e-01]
199 [2.66e-01, 6.78e-01]
200 [2.64e-01, 6.80e-01]
201 [2.61e-01, 6.82e-01]
202 [2.59e-01, 6.84e-01]
